c1,d1,d3,d5,win
c1,d1,d3,d5,win
c1,d1,d3,d5,win
c1,d1,d3,d5,win
c1,d1,d3,d5,win
c1,d1,d3,d5,win
b1,d1,d3,d5
b1,d1,d3,d5,win
b1,d1,d3,d5,win
b1,d1,d3,d5,win
b1,d1,d3,d5,win
b1,d1,d3,d5,win
a1,d1,d3,d5,win
a1,d1,d3,d5,win
a1,d1,d3,d5
a1,d1,d3,d5,win
a1,d1,d3,d5,win
a1,d1,d3,d5,win
d1,d3,d5,d6
d1,d3,d5,d6,win
d1,d3,d5,d6,win
d1,d3,d5,d6,win
d1,d3,d5,d6,win
d1,d3,d5,d6
c2,d1,d3,d5,win
c2,d1,d3,d5,win
c2,d1,d3,d5,win
c2,d1,d3,d5,win
c2,d1,d3,d5,win
c2,d1,d3,d5,win
c2,d1,d3,d5,win
d1,d3,d5,e1
d1,d3,d5,e1
d1,d3,d5,e1,win
d1,d3,d5,e1
d1,d3,d5,e1,win
d1,d3,d5,e1,win
b1,d1,d3,d5
b1,d1,d3,d5,win
b1,d1,d3,d5
b1,d1,d3,d5
b1,d1,d3,d5,win
b1,d1,d3,d5
d1,d3,d5,f1,win
d1,d3,d5,f1,win
d1,d3,d5,f1,win
d1,d3,d5,f1,win
d1,d3,d5,f1,win
a1,d1,d3,d5
a1,d1,d3,d5,win
a1,d1,d3,d5,win
a1,d1,d3,d5
a1,d1,d3,d5,win
a1,d1,d3,d5,win
d1,d3,d5,g1,win
d1,d3,d5,g1,win
d1,d3,d5,g1
d1,d3,d5,g1,win
d1,d3,d5,g1,win
d1,d3,d5,d6
d1,d3,d5,d6
d1,d3,d5,d6,win
d1,d3,d5,d6
c1,d1,d3,d5,win
c1,d1,d3,d5
c1,d1,d3,d5
c1,d1,d3,d5,win
c1,d1,d3,d5,win
d1,d3,d5,e1,win
d1,d3,d5,e1,win
d1,d3,d5,e1,win
d1,d3,d5,e1,win
b2,d1,d3,d5,win
b2,d1,d3,d5,win
b2,d1,d3,d5,win
b2,d1,d3,d5,win
b2,d1,d3,d5,win
b2,d1,d3,d5,win
b2,d1,d3,d5,win
d1,d3,d5,f1,win
d1,d3,d5,f1,win
d1,d3,d5,f1,win
d1,d3,d5,f1,win
a1,d1,d3,d5
a1,d1,d3,d5
a1,d1,d3,d5
a1,d1,d3,d5
d1,d3,d5,g1
d1,d3,d5,g1,win
d1,d3,d5,g1,win
d1,d3,d5,d6,win
d1,d3,d5,d6
c1,d1,d3,d5,win
c1,d1,d3,d5,win
c1,d1,d3,d5,win
d1,d3,d5,e1,win
d1,d3,d5,e1,win
b1,d1,d3,d5
b1,d1,d3,d5,win
b1,d1,d3,d5,win
d1,d3,d5,f1,win
d1,d3,d5,f1,win
a2,d1,d3,d5,win
a2,d1,d3,d5,win
a2,d1,d3,d5,win
a2,d1,d3,d5,win
a2,d1,d3,d5
a2,d1,d3,d5,win
a2,d1,d3,d5
d1,d3,d5,g1,win
d1,d3,d5,g1,win
c1,d1,d3,d6,win
c1,d1,d3,d6
c1,d1,d3,d6
c1,d1,d3,d6,win
c1,d1,d3,d6,win
c1,d1,d3,d6,win
c1,c2,d1,d3,win
c1,c2,d1,d3,win
c1,c2,d1,d3,win
c1,c2,d1,d3,win
c1,c2,d1,d3,win
c1,c2,d1,d3,win
c1,c2,d1,d3,win
c1,d1,d3,f1
a1,c1,d1,d3
c1,d1,d3,g1,win
c1,d1,d3,g1,win
c1,d1,d3,g1
c1,d1,d3,g1
c1,d1,d3,g1,win
c1,d1,d3,g1,win
c1,d1,d3,g1,win
c1,d1,d3,d5,win
c1,c3,d1,d3,win
c1,c3,d1,d3,win
c1,c3,d1,d3,win
c1,c3,d1,d3,win
c1,c3,d1,d3,win
c1,c3,d1,d3,win
c1,c3,d1,d3,win
c1,d1,d3,f1
a1,c1,d1,d3
c1,d1,d3,g1,win
c1,d1,d3,g1
c1,d1,d3,g1
c1,d1,d3,g1,win
c1,d1,d3,g1,win
c1,d1,d3,g1,win
c1,c2,d1,d3
c1,c2,d1,d3,win
c1,c2,d1,d3,win
c1,c2,d1,d3,win
c1,c2,d1,d3,win
